year,tau_global_mean,tau_global_max,tau_global_var
1913,0.024062622099286873,0.03237673403844833,3.0677648519424934e-05
1914,0.00988872037194583,0.014215264791588014,6.677581309044817e-06
1915,0.003931664676695653,0.005692099153732887,8.080572894638967e-07
1916,0.0027441101382122634,0.003548953628894664,1.2747805591680738e-07
1917,0.002220038373516142,0.0033686432737834037,3.7371437499005034e-07
1918,0.0019511631413223088,0.002730046364970358,1.6357212785396931e-07
1919,0.0020084400871443887,0.002730046364970358,2.1014780146403064e-07
1920,0.009364991882395146,0.017108160194758793,3.566353037737467e-05
1921,0.0076591895451115196,0.011615893136663237,4.617532591327e-06
1922,0.002884640698831003,0.004292765104036528,6.253597289304432e-07
1923,0.0011065084087568447,0.0017086490973231073,9.42847926360797e-08
1924,0.0034085782476274197,0.004246517725523422,1.912619536205436e-07
1925,0.002858054575422436,0.00359303578731488,2.1055655665167282e-07
1926,0.002345325718941004,0.0033399294760557622,4.256303537212987e-07
1927,0.001513914640162612,0.002264620410190743,1.7638130951474e-07
1928,0.0052576555727471865,0.008402595582272632,4.76019161737452e-06
1929,0.009838797496039787,0.010822564959036886,4.3713683678711e-07
1930,0.006207258394982149,0.007938056459686003,8.3594993645436e-07
1931,0.004720375248378593,0.005232126985241741,2.2534374795310714e-07
1932,0.008273460021517028,0.010566831569734808,3.949921749435601e-06
1933,0.006690930563451458,0.009549883065561543,2.818897107358417e-06
1934,0.0037905169269232147,0.005086866368820516,4.1962139695048365e-07
1935,0.00422175389954002,0.004801033370708051,2.1121672686654553e-07
1936,0.00323825875168369,0.003882492634612596,1.5071377981825715e-07
1937,0.0028045664796368885,0.003310408678384757,1.5824612798067496e-07
1938,0.004902873195790264,0.005877092110861671,6.421475443194442e-07
1939,0.00408901484910373,0.004889925104188397,3.911904737942278e-07
1940,0.003191010821841339,0.003700043338280385,8.764250748077292e-08
1941,0.0019236849636702872,0.0025368913379005945,8.939560202433355e-08
1942,0.004195455353472135,0.006326373572144876,1.939879773733229e-06
1943,0.004375931274415156,0.006086300328046487,6.859548253025985e-07
1944,0.0023186216867734076,0.002919072432232718,8.118551197033893e-08
1945,0.002184805171865994,0.002919072432232718,2.180981697113043e-07
1946,0.0017996863801339848,0.0025894157579812115,1.565052366561415e-07
1947,0.0022663738482961355,0.0036722248182884235,1.1093450914826475e-06
1948,0.001696633136711822,0.0025390046273568397,2.097978775181853e-07
1949,0.0032504709963949614,0.00450517968594192,1.2250832233461332e-06
1950,0.0028615723060272363,0.003591553825309606,1.9888880381909852e-07
1951,0.001971650174646219,0.0033950193320587277,6.019360070654687e-07
1952,0.0036518497522869814,0.004186030747142184,1.2358283115832393e-07
1953,0.0033884566122845115,0.004687767148354864,9.818078675799466e-07
1954,0.0035950080413073657,0.004891310859285547,7.935632132003835e-07
1955,0.0017828948993108785,0.002235408544739602,7.432288618263623e-08
1956,0.0011179842983028686,0.0016479554000469055,8.287229332431574e-08
1957,0.00048635903407679646,0.0006770180687785495,1.2145846655050105e-08
1958,0.00026487839332816585,0.0003240374143560382,1.1424512670140072e-09
1959,0.00016795605623420322,0.00016795605623420325,7.346839692639297e-40
1960,0.004621511304759555,0.008425655740885125,1.1447932397992415e-05
1961,0.010783520179652796,0.012588636907386505,1.7436450422671153e-06
1962,0.013280522629052873,0.01602824453669518,3.989218907486367e-06
1963,0.046035478764801456,0.08861249263892373,0.0007477330735337586
1964,0.07163482098339351,0.07989579486946145,3.0724881027885886e-05
1965,0.04315988429852737,0.060030095311698374,9.128543652422473e-05
1966,0.02323227421148801,0.03273457499095099,3.0151201499356534e-05
1967,0.014513569981739513,0.01924735064215496,7.121033197206527e-06
1968,0.02740205843689743,0.04749561915913963,0.0001901955468601848
1969,0.03438789315994505,0.04285718390166439,2.8418647819596345e-05
1970,0.016573774034385824,0.024336600552117692,2.04275797374596e-05
1971,0.006493032946492598,0.009385476351530225,2.155333389656543e-06
1972,0.003920481334845582,0.0053214177208726204,4.947973750118946e-07
1973,0.007795286370231553,0.009896703875849936,1.7200653262771744e-06
1974,0.012711577520790112,0.018396042226003398,4.256936688905337e-06
1975,0.030124582379290235,0.04012005766596424,3.055279754153089e-05
1976,0.013624715441349652,0.020604245467078085,1.4910704669897642e-05
1977,0.0050903942935352315,0.0076904593777848505,2.054518147704914e-06
1978,0.0075385940810352645,0.012604984636572968,1.6781803554828506e-05
1979,0.009164089932866304,0.012888665546772149,5.968588123433216e-06
1980,0.0046980833423155574,0.005393507455851469,2.8959354823853337e-07
1981,0.005009880491271453,0.005536552184060287,1.1497787557089951e-07
1982,0.0525889732512548,0.0978411950200209,0.0011117790244784137
1983,0.07524003593621216,0.09602594138567298,0.0002844253767439315
1984,0.03011482296678743,0.0450832294269892,6.71615383078315e-05
1985,0.012607270003042306,0.01642048321695748,4.294861640898773e-06
1986,0.01356140184050864,0.01575731139041857,1.246180960959418e-06
1987,0.010314671639208548,0.011783373067780045,6.986235690366714e-07
1988,0.00760118754955507,0.009536282645712489,7.882505980765957e-07
1989,0.00612203160267255,0.008212805303313645,8.037711767733019e-07
1990,0.006111590231097222,0.007416778626491408,9.556112193270885e-07
1991,0.053999348331883856,0.1385991730087341,0.0028337290697614645
1992,0.12118224197861131,0.14954318994834925,0.0005104549794405842
